"country","id","mayor","metroPopulation","name","population","rank","sameAs"
"India","693","Sri Gopal Mukherjee","1.020 thousand","Haora","1.008 thousand","407","http://dbpedia.org/resource/Howrah"
"Germany","210","Gert Hoffmann",,"Braunschweig","246 thousand","n/r","http://dbpedia.org/resource/Braunschweig"
"China","452","Ge Honglin","11.000 thousand","Chengdu","4.334 thousand","49","http://dbpedia.org/resource/Chengdu"
"Zimbabwe","694","Muchadeyi Masunda","2.800 thousand","HARARE","1.600 thousand","194","http://dbpedia.org/resource/Harare"
"Germany","211","Barbara Ludwig","1.082 thousand","Chemnitz","243 thousand","n/r","http://dbpedia.org/resource/Chemnitz"
"China","453","Xy Qin","8.616 thousand","Shenzhen","4.320 thousand","50","http://dbpedia.org/resource/Shenzhen"
"China","695","Zhang Xiaolian","9.874 thousand","Harbin","4.755 thousand","42","http://dbpedia.org/resource/Harbin"
"Germany","212","Gregor Kathstede",,"Krefeld","236 thousand","n/r","http://dbpedia.org/resource/Krefeld"
"China","454","Ji Jianye","7.600 thousand","Nanjing","4.150 thousand","51","http://dbpedia.org/resource/Nanjing"
"Cuba","696","Juan Contino Asl�n","3.700 thousand","HAVANA","2.430 thousand","116","http://dbpedia.org/resource/Havana"
"Germany","213","Dagmar Szabados",,"Halle","233 thousand","n/r","http://dbpedia.org/resource/Halle_(Saale)"
"China","455","Cui Jie","7.460 thousand","Changchun","3.581 thousand","65","http://dbpedia.org/resource/Changchun"
"China","697","n/k",,"Hechuan","1.530 thousand","207","http://dbpedia.org/resource/Hechuan_District"
"Germany","214","Lutz Tr�mper",,"Magdeburg","230 thousand","n/r","http://dbpedia.org/resource/Magdeburg"
"China","456","Yuan Zhou",,"Guiyang","3.450 thousand","67","http://dbpedia.org/resource/Guiyang"
"China","698","Wu Cunrong","4.867 thousand","Hefei","1.750 thousand","169","http://dbpedia.org/resource/Hefei"
"Germany","215","Dieter Salomon",,"Freiburg","220 thousand","n/r","http://dbpedia.org/resource/Freiburg_im_Breisgau"
"China","457","Cai Qi","6.776 thousand","Hangzhou","3.408 thousand","69","http://dbpedia.org/resource/Hangzhou"
"Finland","699","Jussi Pajunen","1.311 thousand","HELSINKI","583 thousand","577","http://dbpedia.org/resource/Helsinki"
"Germany","216","Klaus Wehling",,"Oberhausen","216 thousand","n/r","http://dbpedia.org/resource/Oberhausen"
"China","458","Zhang Zulin","6.800 thousand","Kunming","3.100 thousand","76","http://dbpedia.org/resource/Kunming"
"Germany","217","Bernd Saxe",,"L�beck","211 thousand","n/r","http://dbpedia.org/resource/L%C3%BCbeck"
"China","459","Liu Huiyan","4.200 thousand","Zibo","2.850 thousand","83","http://dbpedia.org/resource/Zibo"
"Germany","218","Andreas Bausewein",,"Erfurt","203 thousand","n/r","http://dbpedia.org/resource/Erfurt"
"Germany","219","Roland Methling",,"Rostock","201 thousand","n/r","http://dbpedia.org/resource/Rostock"
"China","460","Sun Zhaolin",,"Huludao","2.787 thousand","86","http://dbpedia.org/resource/Huludao"
"China","461","Xia Geng","7.580 thousand","Qingdao","2.755 thousand","88","http://dbpedia.org/resource/Qingdao"
"Ghana","220","Alfred Vanderpuije","2.756 thousand","ACCRA","1.605 thousand","192","http://dbpedia.org/resource/Accra"
"China","462","Zhang Jiangfei","6.140 thousand","Changsha","2.744 thousand","89","http://dbpedia.org/resource/Changsha"
"Ghana","221","Samuel Sarpong","2.500 thousand","Kumasi","1.500 thousand","216","http://dbpedia.org/resource/Kumasi"
"China","463","Yuan Rongxiang","6.630 thousand","Fuzhou (Fujian)","2.710 thousand","91","http://dbpedia.org/resource/Fuzhou"
"Greece","222","Giorgos Kaminis","3.216 thousand","ATHENS","757 thousand","518","http://dbpedia.org/resource/Athens"
"China","464","Chen Baogen","4.480 thousand","Xian","2.670 thousand","93","http://dbpedia.org/resource/Xi'an"
"Greece","223","Vasilis Papageorgopoulos","798 thousand","Thessaloniki","407 thousand","n/r","http://dbpedia.org/resource/Thessaloniki"
"China","465","Ai Wenli","9.600 thousand","Shijiazhuang","2.630 thousand","97","http://dbpedia.org/resource/Shijiazhuang"
"Guatemala","224","Alvaro Arz�","2.564 thousand","GUATEMALA CITY","1.090 thousand","372","http://dbpedia.org/resource/Guatemala_City"
"China","466","Zhao Jiancai","4.510 thousand","Zhengzhou","2.600 thousand","99","http://dbpedia.org/resource/Zhengzhou"
"Guinea","225","Mamadou Wasco Camara",,"CONAKRY","1.931 thousand","145","http://dbpedia.org/resource/Conakry"
"China","467","Zhang Bingsheng","3.400 thousand","Taiyuan","2.550 thousand","103","http://dbpedia.org/resource/Taiyuan"
"Haiti","226","Jean Yves Jason","1.728 thousand","PORT-AU-PRINCE","1.083 thousand","376","http://dbpedia.org/resource/Port-au-Prince"
